54,0.1,Cap MLCC 0.1uF 50V X7R P5.08mm Radial,80-C322C104K5R5TA,Order Quantity,Manufacturer Name,Datasheet URL,Quoted Part Number,Order Price,Min\Mult Order Qty
1,R_ARRAY_9WAY_US,Resistor Network 3K3 Bussed 10 pin SIP,774-770101332P,1,CTS,https://www.mouser.com/datasheet/2/96/770-786259.pdf,774-770101332P,$3.90,1\1
1,74LS258,QUADRUPLE 2-LINE TO 1-LINE DATA SELECTORS/MULTIPLEXERS,595-SN74LS258BN ,1,Texas Instruments,https://www.ti.com/lit/gpn/sn74ls257b,595-SN74LS258BN,$1.10,1\1
1,74LS139,DUAL 2-LINE TO 4-LINE DECODERS/MULTIPLEXERS,595-SN74LS139AN ,1,Texas Instruments,https://www.ti.com/lit/gpn/sn54ls139a,595-SN74LS139AN,$0.78,1\1
1,556,DUAL PRECISION TIMERS,595-NE556N ,1,Texas Instruments,https://www.ti.com/lit/gpn/ne555,595-NE556N,$0.46,1\1
2,74LS257,QUADRUPLE 2-LINE TO 1-LINE DATA SELECTORS/MULTIPLEXERS,595-SN74LS257BN ,2,Texas Instruments,https://www.ti.com/lit/gpn/sn74ls257b,595-SN74LS257BN,$0.97,1\1
1,74LS373,OCTAL D-TYPE TRANSPARENT LATCHES AND EDGE-TRIGGERED FLIP-FLOPS,595-SN74LS373N ,1,Texas Instruments,https://www.ti.com/lit/gpn/sn74ls373,595-SN74LS373N,$0.92,1\1
1,7408,QUADRUPLE 2-INPUT POSITIVE-AND GATES,595-SN74LS08N ,1,Texas Instruments,https://www.ti.com/lit/gpn/sn74ls08,595-SN74LS08N,$0.81,1\1
2,4066,CMOS Quad Bilateral Switch,595-CD4066BE ,2,Texas Instruments,https://www.ti.com/lit/gpn/cd4066b,595-CD4066BE,$0.87,1\1
1,74LS74,DUAL D-TYPE POSITIVE-EDGE-TRIGGERED FLIP-FLOPS WITH PRESET AND CLEAR,595-SN74LS74AN ,1,Texas Instruments,https://www.ti.com/lit/gpn/sn74ls74a,595-SN74LS74AN,$0.57,1\1
1,74LS193,SYNCHRONOUS 4-BIT UP/DOWN COUNTERS (DUAL CLOCK WITH CLEAR),595-SN74LS193N ,1,Texas Instruments,https://www.ti.com/lit/gpn/sn74ls193,595-SN74LS193N,$1.25,1\1
1,74LS629N,VOLTAGE-CONTROLLED OSCILLATORS,595-SN74LS629N ,1,Texas Instruments,https://www.ti.com/lit/gpn/sn74ls629,595-SN74LS629N,$5.93,1\1
1,7406N,HEX INVERTER BUFFERS/DRIVERSWITH OPEN-COLLECTOR HIGH-VOLTAGE OUTPUTS,595-SN7406N ,1,Texas Instruments,https://www.ti.com/lit/gpn/sn7406,595-SN7406N,$0.95,1\1
1,7812,Linear Voltage Regulators 12V 1A Positive,863-MC7812CTG ,1,onsemi,https://www.mouser.com/datasheet/2/308/1/MC7800_D-2315963.pdf,863-MC7812CTG,$0.62,1\1
1,7805,Linear Voltage Regulators 5V 1A Positive,863-MC7805CTG ,1,onsemi,https://www.mouser.com/datasheet/2/308/1/MC7800_D-2315963.pdf,863-MC7805CTG,$0.62,1\1
1,Crystal,Crystals HC49/U,815-AB-17.734475-B4 ,1,ABRACON,https://www.mouser.com/datasheet/2/3/ab-39594.pdf,815-AB-17.734475-B4,$0.75,1\1
4,,Socket PDIP 40P P2.54mm W15.24mm DUAL WIPE,517-4840-6000-CP,4,3M,https://www.mouser.com/datasheet/2/1/28ee42f6da6f8c4339adfd7d572e1cf1acfab337-2951721.pdf,517-4840-6000-CP,$1.18,1\1
2,,Socket PDIP 28P P2.54mm W15.24mm DUAL WIPE,517-4828-6000-CP,2,3M,https://www.mouser.com/datasheet/2/1/28ee42f6da6f8c4339adfd7d572e1cf1acfab337-2951721.pdf,517-4828-6000-CP,$1.07,1\1
3,,Socket PDIP 24P P2.54mm W15.24mm DUAL WIPE,517-4824-6000-CP,3,3M,https://www.mouser.com/datasheet/2/1/28ee42f6da6f8c4339adfd7d572e1cf1acfab337-2951721.pdf,517-4824-6000-CP,$0.74,1\1
1,,Socket PDIP 20P P2.54mm W7.62mm DUAL WIPE,517-4820-3000-CP,1,3M,https://www.mouser.com/datasheet/2/1/28ee42f6da6f8c4339adfd7d572e1cf1acfab337-2951721.pdf,517-4820-3000-CP,$0.80,1\1
1,,Socket PDIP 18P P2.54mm W7.62mm DUAL WIPE,517-4818-3000-CP,1,3M,https://www.mouser.com/datasheet/2/1/28ee42f6da6f8c4339adfd7d572e1cf1acfab337-2951721.pdf,517-4818-3000-CP,$0.65,1\1
14,,Socket PDIP 16P P2.54mm W7.62mm DUAL WIPE,517-4816-3000-CP,14,3M,https://www.mouser.com/datasheet/2/1/28ee42f6da6f8c4339adfd7d572e1cf1acfab337-2951721.pdf,517-4816-3000-CP,$0.383,1\1
7,,Socket PDIP 14P P2.54mm W7.62mm DUAL WIPE,517-4814-3000-CP,7,3M,https://www.mouser.com/datasheet/2/1/28ee42f6da6f8c4339adfd7d572e1cf1acfab337-2951721.pdf,517-4814-3000-CP,$0.49,1\1
